Dia,Gauge,ToolID
8,0,16
14,0,21
14,40,661
14,60,662
14,110,663
14,160,664
14,180,665
14,230,666
16,0,25
16,40,671
16,60,672
16,110,673
16,160,674
16,180,675
16,230,676
20,0,28
22,0,22
