"ORG","Order Num","Item Cat","Batch Id","Sort Id","Seq","Dept","Res","Res Desc","Raw Material","Coil Width","Coil Color","Sort Complete","Fa Job","Fa Item","Item Desc","Mark No","Prd Width","Stack","Fa Seq","Line Seq","Fa Qty","Bundle","Unit Length"
"LKQ","18041206201","TRIM","1827570","26917761","1","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788222:SHANGHAI LIN","L005671*32067816","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1340","G4-PC-80","200","","1","1","40","","1340"
"LKQ","18041206201","TRIM","1827570","26917762","2","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788223:SHANGHAI LIN","L005671*32067817","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--922","G4-YG-1","196","","4","1","6","","922"
"LKQ","18041206201","TRIM","1827570","26917763","3","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788224:SHANGHAI LIN","L005671*32067818","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1272","G4-YG-2","196","","21","1","6","","1272"
"LKQ","18041206201","TRIM","1827570","26917764","4","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788225:SHANGHAI LIN","L005671*32067819","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1272","G4-YG-3","196","","28","1","2","","1272"
"LKQ","18041206201","TRIM","1827570","26917765","5","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788226:SHANGHAI LIN","L005671*32067820","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1048","G4-YG-4","196","","10","1","10","","1048"
"LKQ","18041206201","TRIM","1827570","26917766","6","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788227:SHANGHAI LIN","L005671*32067821","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--997","G4-YG-5","196","","22","1","161","","997"
"LKQ","18041206201","TRIM","1827570","26917767","7","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788228:SHANGHAI LIN","L005671*32067822","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1098","G4-YG-6","196","","5","1","83","","1098"
"LKQ","18041206201","TRIM","1827570","26917768","8","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788229:SHANGHAI LIN","L005671*32067823","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1122","G4-YG-7","196","","23","1","10","","1122"
"LKQ","18041206201","TRIM","1827570","26917769","9","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788230:SHANGHAI LIN","L005671*32067824","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1058","G4-YG-8","196","","3","1","10","","1058"
"LKQ","18041206201","TRIM","1827570","26917770","10","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788231:SHANGHAI LIN","L005671*32067825","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1070","G4-YG-9","196","","11","1","10","","1070"
"LKQ","18041206201","TRIM","1827570","26917771","11","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788232:SHANGHAI LIN","L005671*32067826","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--925","G4-YG-10","196","","6","1","10","","925"
"LKQ","18041206201","TRIM","1827570","26917772","12","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788233:SHANGHAI LIN","L005671*32067827","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--848","G4-YG-11","196","","27","1","4","","848"
"LKQ","18041206201","TRIM","1827570","26917773","13","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788234:SHANGHAI LIN","L005671*32067828","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1198","G4-YG-12","196","","18","1","16","","1198"
"LKQ","18041206201","TRIM","1827570","26917774","14","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788235:SHANGHAI LIN","L005671*32067829","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--922","G4-YG-13","196","","15","1","6","","922"
"LKQ","18041206201","TRIM","1827570","26917775","15","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788236:SHANGHAI LIN","L005671*32067830","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1481","G4-YG-14","196","","12","1","16","","1481"
"LKQ","18041206201","TRIM","1827570","26917776","16","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788237:SHANGHAI LIN","L005671*32067831","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1497","G4-YG-15","196","","19","1","32","","1497"
"LKQ","18041206201","TRIM","1827570","26917777","17","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788238:SHANGHAI LIN","L005671*32067832","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1397","G4-YG-16","196","","24","1","72","","1397"
"LKQ","18041206201","TRIM","1827570","26917778","18","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788239:SHANGHAI LIN","L005671*32067833","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1247","G4-YG-17","196","","16","1","64","","1247"
"LKQ","18041206201","TRIM","1827570","26917779","19","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788240:SHANGHAI LIN","L005671*32067834","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1597","G4-YG-18","196","","13","1","192","","1597"
"LKQ","18041206201","TRIM","1827570","26917780","20","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788241:SHANGHAI LIN","L005671*32067835","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1347","G4-YG-19","196","","7","1","16","","1347"
"LKQ","18041206201","TRIM","1827570","26917781","21","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788242:SHANGHAI LIN","L005671*32067836","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1460","G4-YG-20","196","","25","1","4","","1460"
"LKQ","18041206201","TRIM","1827570","26917782","22","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788243:SHANGHAI LIN","L005671*32067837","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1551","G4-YG-21","196","","26","1","6","","1551"
"LKQ","18041206201","TRIM","1827570","26917783","23","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788244:SHANGHAI LIN","L005671*32067838","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1481","G4-YG-22","196","","2","1","16","","1481"
"LKQ","18041206201","TRIM","1827570","26917784","24","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788245:SHANGHAI LIN","L005671*32067839","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--948","G4-YG-23","196","","8","1","16","","948"
"LKQ","18041206201","TRIM","1827570","26917785","25","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788246:SHANGHAI LIN","L005671*32067840","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1272","G4-YG-24","196","","20","1","8","","1272"
"LKQ","18041206201","TRIM","1827570","26917786","26","765","CTL","Cut to Length Line","C018169","1250","","","18041206201:35788247:SHANGHAI LIN","L005671*32067841","LYSAGHT STANDARD FLASHING 1.5MM GALVANIZED G345Z275--1453","G4-YG-25","196","","9","1","8","","1453"
"LKQ","18041206201","TRIM","1827570","26917787","27","765","CTL","Cut to Length Line","C048287","1260","","Y","18041206201:35788248:SHANGHAI LIN","L015947*32067842","LYSAGHT STANDARD FLASHING 2.4MM GALVANIZED G450Z275--84","G4-P24","395","","17","1","48","","84"
"LKQ","18041206201","TRIM","1827570","26917788","28","765","CTL","Cut to Length Line","C048287","1260","","Y","18041206201:35788249:SHANGHAI LIN","L015947*32067843","LYSAGHT STANDARD FLASHING 2.4MM GALVANIZED G450Z275--50","G4-P25","395","","14","1","38","","50"
"LKQ","1803218202","TRIM","1829369","26936925","1","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","1803218202:33227019:NANTONG SANJ","L016246*28879011","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-4500","ZF10","555","","1","1","2","","4500"
"LKQ","18032071202","TRIM","1829370","26936927","1","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071202:35575216:THE FOURTH C","L016246*31776730","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-4000","TF08","430","","1","1","8","","4000"
"LKQ","18032071203","TRIM","1829371","26936929","1","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071203:35657177:THE FOURTH C","L016246*31875259","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-4000","TF23","560","","3","1","16","","4000"
"LKQ","18032071203","TRIM","1829371","26936930","2","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071203:35657178:THE FOURTH C","L016246*31875260","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-5000","B01","500","","2","1","13","","5000"
"LKQ","18032071203","TRIM","1829371","26936931","3","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071203:35657179:THE FOURTH C","L016246*31875261","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-5000","B02","310","","5","1","13","","5000"
"LKQ","18032071203","TRIM","1829371","26936932","4","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071203:35657180:THE FOURTH C","L016246*31875262","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-1700","CF01A","290","","8","1","4","","1700"
"LKQ","18032071203","TRIM","1829371","26936933","5","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071203:35657181:THE FOURTH C","L016246*31875263","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-3600","CF01B","290","","6","1","4","","3600"
"LKQ","18032071203","TRIM","1829371","26936934","6","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071203:35657182:THE FOURTH C","L016246*31875264","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-1700","CF06A","250","","1","1","4","","1700"
"LKQ","18032071203","TRIM","1829371","26936935","7","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071203:35657183:THE FOURTH C","L016246*31875265","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-3600","CF06B","250","","4","1","4","","3600"
"LKQ","18032071203","TRIM","1829371","26936936","8","765","CTL","Cut to Length Line","C049293","1200","DAWN SILVER","","18032071203:35657184:THE FOURTH C","L016246*31875266","LYSAGHT STANDARD FLASHING 0.65MM TPT PPAZ G550AZ150-DAS150-5000","MF07","360","","7","1","9","","5000"
